Jmag,Hmag,Ksmag,3.6mag,4.5mag,5.8mag,8.0mag,24mag,AKs,alpha,Cl
NaN,14.96,13.13,11.45,10.84,10.36,9.55,5.52,2.11,-0.68,II
15.88,15.03,14.53,13.46,13.09,12.79,12.25,9.91,0.05,-1.47,II
16,15.06,14.61,14.26,13.93,13.55,12.56,NaN,0.26,-0.9,II
15.84,14.99,14.46,14.13,13.88,13.57,12.99,NaN,0.04,-1.53,II
NaN,15.96,14.67,13.53,12.94,12.82,12.31,5.66,0.89,-1.53,I*
NaN,NaN,NaN,13.37,NaN,10.67,NaN,5.77,NaN,NaN,I*
NaN,NaN,NaN,15.56,14.13,13.1,11.97,6.3,NaN,1.23,I*
NaN,NaN,NaN,15.35,14.3,12.84,NaN,6.4,NaN,NaN,I*
NaN,NaN,NaN,13.14,NaN,11.36,NaN,6.42,NaN,NaN,I*
NaN,NaN,NaN,16.48,15.42,NaN,NaN,6.95,NaN,NaN,I*
NaN,NaN,NaN,11.79,NaN,8.87,NaN,1.75,NaN,NaN,I*
NaN,NaN,NaN,NaN,13.66,11.93,10.63,4.7,NaN,NaN,I*
NaN,NaN,NaN,NaN,13.13,11.76,10.34,4.21,NaN,NaN,I*
13.55,11.91,10.91,9.54,8.67,7.86,6.74,2.33,0.86,0.36,I
NaN,NaN,NaN,14.05,12.85,11.81,10.8,NaN,NaN,0.87,I
NaN,NaN,NaN,14.49,13.57,12.78,11.87,NaN,NaN,0.15,I
NaN,NaN,14.85,14.28,12.79,11.48,10.31,6.7,NaN,1.72,I
16.77,14.53,13.21,12,11.19,10.48,9.46,NaN,1.52,0.05,I
NaN,NaN,NaN,13.21,12.42,11.69,10.72,6.48,NaN,0.01,I
NaN,NaN,NaN,15.37,13.7,12.73,11.84,5.54,NaN,1.11,I
NaN,NaN,NaN,12.38,11.22,10.21,9.3,5.71,NaN,0.68,I
NaN,NaN,NaN,15.63,14.27,13.12,11.56,7,NaN,1.79,I
NaN,NaN,14.9,11.95,10.85,9.9,8.95,4.84,NaN,0.6,I
NaN,NaN,NaN,13.44,12.26,11.37,10.54,7.26,NaN,0.45,I
NaN,NaN,NaN,10.57,8.31,6.86,5.8,NaN,NaN,2.54,I
NaN,NaN,14.7,10.43,8.79,7.57,6.63,NaN,NaN,1.49,I
NaN,NaN,NaN,13.89,12.92,12.03,11.38,NaN,NaN,0.05,I
NaN,NaN,NaN,13.89,11.91,10.33,9.03,4.91,NaN,2.71,I
NaN,NaN,15.26,10.85,9.53,8.27,7.25,4.24,NaN,1.31,I
NaN,NaN,NaN,13.98,12.26,11.03,10.22,6.18,NaN,1.43,I
NaN,NaN,NaN,10.11,7.67,6,4.83,NaN,NaN,3.14,I
NaN,NaN,NaN,16.19,14.49,13.61,13.18,NaN,NaN,0.51,I
NaN,NaN,NaN,13.73,12.6,11.84,11.68,NaN,NaN,-0.5,I
NaN,NaN,NaN,15.65,13.46,12.02,11.04,6.59,NaN,2.37,I
NaN,NaN,NaN,12.1,10.46,9.22,8.3,4.43,NaN,1.48,I
16.16,14.79,13.89,12.83,11.83,NaN,NaN,NaN,0.53,NaN,I
NaN,NaN,15.23,12.65,11.83,10.88,10.5,NaN,NaN,-0.31,I
NaN,NaN,13.37,11.02,10.28,9.42,8.81,NaN,NaN,-0.25,I
15.56,13.18,11.84,10.29,9.36,8.56,7.42,3.64,1.72,0.43,I
16.71,15.13,14.04,12.32,11.52,10.78,9.94,5.58,0.68,-0.1,I
15.53,14.12,NaN,12.71,12.26,11.8,10.89,8.12,NaN,-0.76,II
NaN,16.03,14.78,13.52,12.82,12.27,11.28,8.14,0.5,-0.3,II
NaN,NaN,NaN,14.37,13.93,13.3,12.67,NaN,NaN,-0.85,II
16.16,14.16,12.98,11.63,11.07,10.54,9.65,6.63,1.25,-0.57,II
15.84,14.51,13.95,13.36,13.12,12.71,11.7,NaN,0.77,-0.92,II
14.73,13.55,12.99,12.48,12.09,11.71,10.57,7.41,0.54,-0.68,II
16.94,15.74,14.9,13.97,13.54,13.12,12.35,9.28,0.31,-0.98,II
16.14,14.94,14.28,13.7,13.36,12.81,11.63,8.26,0.48,-0.44,II
17.18,15.5,14.64,13.4,12.75,12.42,11.62,7.93,1.07,-0.85,II
15.23,13.88,13.3,12.79,12.53,12.17,11.38,NaN,0.79,-1.22,II
NaN,15.78,14.71,13.9,13.45,12.91,12.48,NaN,0.81,-1.18,II
NaN,15.81,14.99,14.11,13.53,12.99,11.98,8.78,0,-0.4,II
16.97,14.93,13.86,12.88,12.36,11.71,10.49,NaN,1.44,-0.09,II
17.21,16.1,15.25,14.36,13.88,13.41,12.52,9.1,0.14,-0.73,II
15.8,14.65,14.05,13.33,13.02,12.78,12.32,NaN,0.44,-1.69,II
16.26,15.04,14.58,14.13,13.93,13.56,12.99,NaN,0.65,-1.5,II
17.22,15.42,15,14.39,14,13.76,12.78,NaN,1.27,-1.04,II
16.83,15.11,14.37,13.6,13.19,12.72,12.05,NaN,1.18,-1.04,II
16.31,14.92,14.23,13.2,12.62,11.96,10.95,7.9,0.75,-0.24,II
16.42,14.73,13.96,13.21,12.68,12.58,11.75,8.16,1.15,-1.26,II
16.68,15.41,14.6,13.84,13.42,13.17,12.71,NaN,0.44,-1.57,II
15.45,14,13.17,12.71,12.2,11.71,10.86,7.67,0.71,-0.72,II
16.31,NaN,NaN,13.02,12.59,12.07,11.35,NaN,NaN,-0.9,II
15.26,13.93,13.28,12.77,12.55,11.99,10.98,8.11,0.7,-0.74,II
14.68,13.08,12.2,11.01,10.46,9.96,9.19,6.99,0.9,-0.76,II
16.36,15.14,14.66,13.7,13.42,13.13,12.5,NaN,0.65,-1.46,II
15.3,13.65,12.58,11.25,10.77,10.45,10.01,7.59,0.8,-1.44,II
15.25,13.73,12.84,11.89,11.46,11.14,10.69,8.15,0.75,-1.47,II
13.88,12.49,11.69,10.56,10.22,9.86,9.01,5.49,0.64,-1.07,II
15.94,14.17,13.17,12.55,12,11.64,10.91,7.4,1.06,-0.99,II
16.07,14.48,13.55,12.42,11.89,11.36,10.38,NaN,0.83,-0.51,II
NaN,15.74,14.93,14.05,13.6,13.19,12.3,NaN,0.21,-0.85,II
17.01,15.17,14.19,12.85,12.22,11.99,11.48,8.34,1.17,-1.34,II
NaN,NaN,NaN,14.52,14.06,13.52,13.06,NaN,NaN,-1.13,II
NaN,15.8,14.44,13.29,12.74,11.94,11.1,7.56,1.21,-0.27,II
NaN,15.93,15.36,14.36,13.91,13.45,12.55,NaN,0,-0.77,II
NaN,NaN,15.14,14.06,13.25,12.65,11.4,7.49,NaN,0.16,II
NaN,15.9,15.08,13.71,13.01,12.48,11.81,NaN,0,-0.67,II
NaN,14.23,13.21,11.93,11.35,11.03,10.47,NaN,0.31,-1.21,II
NaN,NaN,15.08,14.06,13.61,13.4,12.88,NaN,NaN,-1.53,II
NaN,NaN,14.46,13.29,12.87,12.17,11.46,NaN,NaN,-0.68,II
16.84,14.98,14.2,13.25,12.78,12.4,11.64,NaN,1.33,-1.02,II
NaN,15.35,14.12,12.72,12.25,11.71,10.8,7.53,1.17,-0.63,II
15.18,13.76,13.17,12.66,12.42,12.08,10.83,6.28,0.87,-0.75,II
NaN,16.04,14.76,13.72,13.11,12.44,11.32,7.54,0.82,-0.08,II
14.95,12.99,11.76,9.95,9.32,8.79,7.91,4.28,1.15,-0.51,II
13.83,12.27,11.45,10.43,9.99,9.44,8.53,5.26,0.89,-0.64,II
15.71,13.71,12.77,11.52,11.01,10.51,10.03,8.12,1.48,-1.12,II
NaN,NaN,14.64,13.68,13.12,12.43,11.51,NaN,NaN,-0.32,II
NaN,15.73,14.54,13.08,12.56,12.09,11.56,7.85,0.87,-1.09,II
16.71,14.8,13.87,12.74,12.18,11.89,11.13,7.96,1.36,-1.05,II
NaN,15.98,14.41,12.98,12.36,11.8,10.99,7.97,1.5,-0.57,II
13.95,12.76,12.14,11.14,10.57,9.94,9.08,5.95,0.48,-0.46,II
NaN,14.13,12.9,11.45,10.9,10.42,9.71,7.34,0.88,-0.85,II
NaN,NaN,15.39,13.35,12.7,11.95,10.87,6.41,NaN,0.02,II
NaN,NaN,15.33,14.32,13.88,13.69,12.53,NaN,NaN,-0.86,II
16.05,14.2,13.29,12.2,11.8,11.39,10.99,NaN,1.27,-1.44,II
15.06,13.02,11.86,10.65,10.12,9.6,8.78,5.41,1.33,-0.69,II
NaN,15.72,14.68,13.64,13.19,12.89,12.3,NaN,0.75,-1.34,II
15.62,13.86,12.9,10.7,10,9.35,8.44,NaN,1.09,-0.24,II
16.51,15.21,14.53,13.81,13.33,12.89,12.45,8.55,0.61,-1.27,II
16.8,14.76,13.57,12.51,12.01,11.45,10.69,NaN,1.33,-0.73,II
NaN,15.41,14.02,12.24,11.58,10.93,10.06,6.68,0.95,-0.34,II
NaN,14.27,13.4,12.2,11.6,11.16,10.36,6.39,0,-0.76,II
15.72,13.89,13.15,12.34,12.01,11.56,10.86,NaN,1.3,-1.12,II
NaN,15.66,14.08,12.13,11.42,10.87,10.33,NaN,1.23,-0.79,II
NaN,NaN,12.51,11.28,10.74,10.2,9.52,6.91,NaN,-0.8,II
NaN,15.53,14.8,13.73,13.47,13.15,12.28,NaN,0.62,-1.19,II
16.03,14.08,13.07,11.94,11.4,10.96,10.27,7.67,1.35,-0.94,II
NaN,14.46,12.76,10.66,10.11,9.65,9.16,NaN,2.02,-1.12,II
NaN,NaN,15.15,13.42,12.65,12.01,11.12,NaN,NaN,-0.21,II
14.56,13.19,12.38,11.19,10.8,10.37,9.4,6.05,0.6,-0.79,II
16.04,14.94,14.56,13.59,13.16,12.76,12.18,NaN,0.53,-1.22,II
14.35,13.13,12.41,11.58,11.25,10.97,10.61,7.15,0.43,-1.73,II
NaN,NaN,NaN,14.34,13.81,13.33,12.47,NaN,NaN,-0.7,II
NaN,NaN,14.6,12.84,12.14,11.45,10.66,NaN,NaN,-0.33,II
NaN,NaN,14.82,12.77,11.85,11.09,10.39,7.75,NaN,-0.11,II
NaN,15.6,13.9,12.47,11.8,11.22,10.4,7.38,1.63,-0.47,II
NaN,NaN,NaN,13.19,12.46,11.79,11.15,NaN,NaN,-0.49,II
NaN,NaN,14.1,12.44,11.61,11.11,10.49,7.65,NaN,-0.65,II
NaN,15.18,13.7,12.47,11.95,11.44,10.71,6.67,1.58,-0.81,II
16.14,15,14.5,13.93,13.6,13.18,12.54,NaN,0.53,-1.22,II
NaN,14.61,13.2,11.84,11.17,10.59,9.94,6.62,0.91,-0.66,II
NaN,15.89,14.15,13.13,12.09,11.42,10.74,NaN,0.53,-0.14,II
15.13,13.91,13.34,12.56,12.17,11.66,11.14,NaN,0.6,-1.17,II
NaN,NaN,NaN,13.52,12.79,12.33,11.59,NaN,NaN,-0.67,II
NaN,NaN,14.16,12.85,12.16,11.78,11.14,NaN,NaN,-0.93,II
16.38,15.26,14.89,13.69,13.22,12.96,11.76,NaN,0.54,-0.69,II
NaN,NaN,NaN,13.85,13.3,13.01,12.3,NaN,NaN,-1.12,II
NaN,15.97,13.95,11.94,11.22,10.76,10.07,6.11,2.22,-0.74,II
13.39,11.61,10.28,8.35,7.64,7.09,6.32,3.19,0.77,-0.53,II
NaN,NaN,14.92,13.3,12.74,12.43,11.95,NaN,NaN,-1.32,II
NaN,15.5,14.36,12.63,11.98,11.39,10.49,7.41,0.36,-0.39,II
NaN,NaN,15.39,13.32,12.3,11.64,10.62,NaN,NaN,0.19,II
14.39,13.21,12.59,11.61,11.24,10.94,10.27,7.41,0.47,-1.32,II
NaN,15.62,14.38,13.18,12.65,12.2,11.39,8.52,0.99,-0.8,II
NaN,15.81,14.73,13.85,13.36,12.86,12.15,NaN,0.69,-0.88,II
15.62,14.09,13.21,12.18,11.63,11.2,10.52,7.11,0.8,-0.95,II
16.22,14.12,13.14,12.25,11.81,11.27,10.69,NaN,1.58,-1.02,II
NaN,NaN,NaN,13.48,12.84,12.32,11.43,8.21,NaN,-0.5,II
16.45,14.81,14.06,13.33,12.88,NaN,NaN,NaN,1.09,NaN,II
NaN,NaN,13.95,11.78,11.04,10.56,9.9,NaN,NaN,-0.73,II
NaN,15.56,14.64,13.64,13.25,12.85,12.29,NaN,0.64,-1.28,II
NaN,NaN,NaN,11.09,10.7,10.42,9.62,NaN,NaN,-1.18,II
16.75,15.1,14.3,13.3,12.82,12.47,11.54,NaN,1.06,-0.86,II
16.42,14.98,14.3,13.38,12.97,12.69,11.77,8.91,0.82,-1.03,II
15.84,13.98,13.1,11.9,11.43,10.89,10.2,NaN,1.33,-0.87,II
16.76,14.76,13.69,12.47,12.11,11.81,11.48,7.36,1.36,-1.71,II
14.86,13.8,13.45,13.04,12.87,12.58,11.74,7.8,0.49,-1.35,II
NaN,NaN,14.56,13.28,12.78,12.37,11.84,NaN,NaN,-1.2,II
14.36,13.31,12.72,11.64,11.27,10.95,10.21,7.16,0.29,-1.21,II
16.16,14.47,13.73,12.54,12.14,11.88,11.46,8.16,1.16,-1.62,II
14.78,13.02,12,10.65,10.21,9.88,9.38,6.89,1.05,-1.4,II
15.41,13.91,13.09,12.23,11.76,11.43,10.89,NaN,0.81,-1.32,II
16.26,15.25,14.7,14.11,13.92,13.8,NaN,NaN,0.27,NaN,II
16.79,14.89,14.17,13.36,13.08,12.61,11.96,NaN,1.37,-1.19,II
16.13,14.38,13.54,12.31,11.75,11.22,10.41,6.3,1.18,-0.66,II
NaN,15.71,14.98,14.11,13.72,13.49,12.78,NaN,0.2,-1.36,II
15.63,14.7,14.16,12.81,12.4,12.18,11.77,NaN,0.17,-1.67,II
14.66,13.26,12.75,12.42,12.3,12.2,11.89,8.8,0.85,-2.25,II*
14,12.78,12.06,10.86,10.57,10.45,10.23,7.29,0.44,-2.14,II*
13.73,12.91,12.51,12.08,11.93,11.79,11.38,8.1,0.11,-2.05,II*
14.6,13.22,12.47,12.04,11.83,11.59,11.46,7.17,0.66,-2.15,II*
15.07,14.08,13.63,13.38,13.31,13.16,12.87,7.38,0.34,-2.25,II*
15.46,14.46,14.12,13.75,13.66,13.4,12.46,7.69,0.42,-1.35,II*
NaN,NaN,NaN,15.62,14.26,13.31,11.91,6.17,NaN,1.35,I*
NaN,16.75,14.91,13.17,11.82,11.37,10.72,3.73,NaN,-0.18,I*
NaN,NaN,NaN,NaN,7.81,6.6,5.61,0.47,NaN,NaN,I*
NaN,NaN,NaN,NaN,15.11,NaN,NaN,6.82,NaN,NaN,I*
NaN,NaN,NaN,14.21,12.81,NaN,11.54,5.17,NaN,NaN,I*
NaN,NaN,NaN,NaN,15.48,NaN,NaN,6.13,NaN,NaN,I*
NaN,NaN,NaN,13.95,11.61,10.81,10.44,2.68,NaN,0.95,I*
NaN,NaN,NaN,13.95,10.47,10.95,10.7,5.55,NaN,0.18,I*
NaN,17.21,15.74,14.42,13.94,13.89,13.64,7.75,NaN,-2.02,I*
NaN,NaN,NaN,15.69,13.53,12.83,13.12,6,NaN,-0.07,I*
NaN,NaN,NaN,14.28,12.78,12.25,12.16,4.52,NaN,-0.54,I*
NaN,NaN,NaN,NaN,12.35,11.58,10.9,3.75,NaN,NaN,I*
NaN,NaN,14.49,13.22,12.31,11.56,10.64,5.29,NaN,0.1,I
NaN,NaN,NaN,12.15,10.55,9.37,8.25,5.18,NaN,1.59,I
NaN,NaN,12.05,9.81,8.01,6.67,4.95,NaN,NaN,2.66,I
NaN,17.04,13.81,10.81,9.69,8.88,8,4.03,NaN,0.33,I
12.48,10.84,9.51,7.82,6.86,5.91,4.9,1.32,0.89,0.52,I
NaN,16.84,14.95,13.19,12.39,11.48,10.42,6.5,NaN,0.37,I
NaN,NaN,NaN,15.86,15.05,14.33,13.89,NaN,NaN,-0.56,I
16.02,14.83,14.31,13.91,12.96,12.09,10.49,6.02,0.37,1.05,I
NaN,NaN,NaN,12.66,10.18,8.96,8.33,0.35,NaN,1.96,I
NaN,NaN,16.37,14.35,13.59,12.87,12.12,NaN,NaN,-0.28,I
17.21,15.97,15.24,14.03,13.08,12.22,11.12,7.26,NaN,0.48,I
17.99,14.43,11.56,9.6,8.01,7.04,5.96,2.28,1.71,1.24,I
17.8,NaN,15.1,14.21,13.25,12.23,11.18,NaN,NaN,0.65,I
NaN,13.88,10.88,6.92,5.73,4.53,3.5,NaN,3.1,1.11,I
11.74,9.74,8.15,6.22,5.02,3.92,2.73,NaN,1.01,1.16,I
NaN,14.22,12.65,11.3,10.52,9.72,8.78,4.8,1.12,0.06,I
NaN,13.8,10.43,6.65,5.13,4.13,3.65,NaN,2.95,0.56,I
16.45,13.76,11.78,9.98,9.05,8.63,NaN,NaN,1.79,NaN,I
NaN,16.1,13.18,10.3,8.39,7.42,6.74,2.34,NaN,1.11,I
NaN,NaN,NaN,12.57,10.82,9.77,9.18,2.27,NaN,0.97,I
NaN,NaN,14.14,9.28,7.53,6.64,5.8,2.6,NaN,1.03,I
NaN,NaN,NaN,13.53,11.99,10.63,9.59,4.17,NaN,1.69,I
NaN,NaN,NaN,14.26,13.29,12.5,11.14,7.73,NaN,0.69,I
17.18,16.03,15.35,14.34,13.56,12.78,12.17,7.9,NaN,-0.32,I
16.51,15.75,15.13,14.45,13.98,13.49,12.82,NaN,0.04,-0.96,II
NaN,17.13,15.2,13.96,13.39,12.96,12.14,8.5,NaN,-0.78,II
17.55,16.37,15.13,13.69,13.1,12.48,11.61,8.03,NaN,-0.44,II
NaN,16.83,14.16,12,10.97,10.41,9.56,6.82,NaN,-0.12,II
15.29,13.15,12.04,11.2,10.88,10.57,10.23,8.13,1.51,-1.72,II
12.02,10.79,9.85,8.9,8.38,7.77,6.64,NaN,0.41,-0.24,II
14.21,13.21,12.61,11.9,11.68,11.27,10.61,8.07,0.22,-1.33,II
10.88,10.01,9.69,9.47,9.17,8.88,8.3,NaN,0.27,-1.51,II
14.26,12.61,11.64,10.34,9.97,9.66,9.27,6.52,0.83,-1.61,II
12.93,11.75,10.92,9.94,9.33,9.01,8.33,5.6,0.27,-1.05,II
11.36,10.07,9.18,8.5,7.84,7.55,6.49,3.37,0.41,-0.62,II
13.29,12.5,12.14,11.91,11.41,11.07,10.37,8.29,0.04,-1.1,II
11.72,10.49,9.9,9.08,8.65,8.36,7.29,4.31,0.57,-0.83,II
13.19,12.5,12.07,11.48,11.21,10.77,10.04,7.79,0,-1.17,II
11.98,11.01,10.56,10.18,9.94,9.56,8.92,6.32,0.3,-1.36,II
13.59,12.87,12.5,12.26,11.85,11.42,10.82,8.29,0,-1.18,II
NaN,16.8,15.38,14.1,13.58,13.09,12.34,9.07,NaN,-0.82,II
14.57,12.22,10.92,10.09,9.69,9.15,8.3,4.82,1.95,-0.77,II
13.02,12.05,11.61,11.19,10.65,10.21,9.31,5.12,0.33,-0.71,II
12.82,11.22,10.32,9.54,8.79,8.45,7.61,4.5,0.93,-0.71,II
16.02,14.97,14.18,13.55,13.07,12.65,11.99,NaN,0.19,-1.06,II
13.46,11.61,10.51,9.23,8.47,8.14,7.46,3.91,1.2,-0.89,II
12.96,11.59,10.81,9.93,9.5,9.08,8.3,NaN,0.65,-0.97,II
NaN,NaN,16.18,11.22,9.71,8.84,8.26,6.14,NaN,0.47,II
15.53,13.07,11.77,10.61,10,9.27,8.36,4.75,2.19,-0.22,II
12.3,10.69,9.7,8.83,8.35,8.25,7.55,3.67,0.8,-1.46,II
13.72,11.89,11.03,10.61,10.31,9.92,8.93,3.97,1.3,-0.91,II
15.38,14,13.2,12.61,11.9,11.26,10.27,7.17,0.7,-0.17,II
13.05,11.95,11.38,10.62,10.1,9.71,8.67,5.76,0.32,-0.63,II
16.04,14.32,13.32,12.46,11.96,11.36,NaN,NaN,0.67,NaN,II
14.55,13.09,12.22,11.3,10.84,10.3,9.59,NaN,0.43,-0.85,II
15.31,14.24,13.65,13,12.73,12.58,12.07,NaN,0.69,-1.81,II
16.16,12.54,10.56,8.69,8.01,7.5,6.4,2.46,3.53,-0.25,II
12.37,10.96,9.98,8.85,8.4,8.14,7.51,4.77,0.44,-1.34,II
16.61,14.6,13.35,12.11,11.68,11.41,10.62,6.46,1.01,-1.16,II
14.51,13.87,13.62,13.33,12.76,NaN,NaN,NaN,0,NaN,II
17.07,14.88,13.54,12.2,11.56,11.07,10.46,NaN,1.2,-0.87,II
14.05,12.78,11.73,10.25,9.6,9.21,8.23,5,0.37,-0.58,II
15.66,14.62,13.98,13.22,12.64,12.24,11.56,7.34,0.31,-0.96,II
15.86,14.65,13.97,13.26,13.02,12.68,12.37,NaN,0.71,-1.79,II
16.32,14.87,13.93,13.04,12.67,12.15,11.5,NaN,0.94,-1.04,II
11.43,10.16,9.36,8.05,7.62,7.24,6.32,3.5,0.54,-0.88,II
17.2,16.06,15.17,13.95,13.45,12.9,12.42,NaN,0.6,-1.06,II
15.61,13.95,12.75,11.4,10.85,10.24,9.22,5.64,0.63,-0.33,II
NaN,NaN,14.31,12.04,11.03,10.41,9.82,7.39,NaN,-0.34,II
NaN,15.25,13.31,11.7,10.92,10.33,9.75,NaN,2.13,-0.61,II
17.2,16.34,15.65,13.98,13.39,12.48,11.75,NaN,NaN,-0.2,II
14.29,11.58,9.82,8.56,7.82,7.16,6.32,3.71,2.19,-0.28,II
NaN,14.93,12.75,11.06,10.29,9.7,9,5.97,2.13,-0.5,II
16.7,15.55,14.83,14.06,13.79,13.48,12.93,9.76,0.35,-1.54,II
12.98,11.17,10.13,8.93,8.39,7.95,7.38,NaN,1.16,-1.07,II
17.14,15.99,15.73,13.38,12.65,12.07,11.26,7.34,0.57,-0.42,II
16.38,14.34,13.19,12.28,11.92,11.36,10.2,NaN,1.51,-0.43,II
14.11,13.18,12.67,12.06,11.71,11.34,10.41,7.82,0.26,-0.96,II
11.26,10.14,9.5,9.13,8.92,8.33,7.19,NaN,0.35,-0.56,II
15.51,14.69,14.2,13.74,13.54,13.5,NaN,NaN,0,NaN,II
9.34,7.95,7.17,6.7,6.54,5.95,4.63,NaN,0.62,-0.4,II
15.65,13.85,12.85,11.87,11.41,10.9,10.3,NaN,1.07,-1.02,II
15.97,14.47,13.2,11.6,10.9,10.16,9.05,5.87,0.64,0.09,II
14.84,13.46,12.58,11.5,11.04,10.72,NaN,NaN,0.66,NaN,II
15.34,13.6,12.69,11.93,11.6,11.16,10.53,6.02,1.27,-1.2,II
16.87,15.77,14.76,13.85,13.29,12.64,11.22,6.35,0.24,0.16,II
NaN,15.52,12.69,10.58,9.69,9,8.25,NaN,3.73,-0.18,II
13.43,12.58,12.1,11.29,10.78,10.62,10.09,NaN,0.07,-1.53,II
15.22,14.59,14.19,13.55,13.1,12.76,12.08,NaN,0,-1.17,II
13.04,11.24,10.09,8.83,8.38,7.95,7.5,5.61,1.02,-1.31,II
NaN,NaN,15.83,14,13.39,12.66,11.9,9.21,NaN,-0.39,II
NaN,NaN,16.47,14.99,14.56,14.08,13.47,NaN,NaN,-1.08,II
13.17,11.82,11.16,10.32,9.73,9.21,8.45,NaN,0.81,-0.7,II
15.25,14.1,13.52,12.85,12.42,11.79,10.82,6.36,0.24,-0.48,II
9.95,8.94,8.35,7.29,6.82,6.28,5.54,2.89,0.31,-0.81,II
14.78,13.65,12.97,12.24,11.87,11.53,10.93,8.09,0.4,-1.34,II
NaN,NaN,14.61,13.55,12.89,12.27,11.06,6.3,0.87,0,II
11.37,10.38,10.26,9.58,9.1,8.35,7.06,3.81,0.08,0.08,II
NaN,14.69,12.16,9.97,8.94,8.32,7.32,3.22,2.79,0.12,II
14.03,11.79,10.39,8.57,7.95,7.49,6.59,3.08,1.55,-0.6,II
17.48,14.66,13.07,11.68,11.19,10.72,10.09,NaN,2.14,-1.02,II
12.41,11.72,11.43,11.01,10.68,10.32,9.62,6.74,0,-1.25,II
11.1,10.05,9.45,8.59,8.2,7.89,7.41,4.82,0.21,-1.49,II
12.35,11.64,11.3,10.51,10.16,9.77,8.93,5.92,0,-1.02,II
13.52,12.67,12.24,11.63,11.09,10.72,10.02,7.51,0.16,-1.02,II
