Jmag	Hmag	Ksmag	3.6mag	4.5mag	5.8mag	8.0mag	24mag	AKs	alpha	Cl
     	15.96	14.67	13.53	12.94	12.82	12.31	 5.66	 0.89	-1.53	I*
     	     	     	13.37	     	10.67	     	 5.77	     	     	I*
     	     	     	15.56	14.13	13.10	11.97	 6.30	     	 1.23	I*
     	     	     	15.35	14.30	12.84	     	 6.40	     	     	I*
     	     	     	13.14	     	11.36	     	 6.42	     	     	I*
     	     	     	16.48	15.42	     	     	 6.95	     	     	I*
     	     	     	11.79	     	 8.87	     	 1.75	     	     	I*
     	     	     	     	13.66	11.93	10.63	 4.70	     	     	I*
     	     	     	     	13.13	11.76	10.34	 4.21	     	     	I*
13.55	11.91	10.91	 9.54	 8.67	 7.86	 6.74	 2.33	 0.86	 0.36	I
     	     	     	14.05	12.85	11.81	10.80	     	     	 0.87	I
     	     	     	14.49	13.57	12.78	11.87	     	     	 0.15	I
     	     	14.85	14.28	12.79	11.48	10.31	 6.70	     	 1.72	I
16.77	14.53	13.21	12.00	11.19	10.48	 9.46	     	 1.52	 0.05	I
     	     	     	13.21	12.42	11.69	10.72	 6.48	     	 0.01	I
     	     	     	15.37	13.70	12.73	11.84	 5.54	     	 1.11	I
     	     	     	12.38	11.22	10.21	 9.30	 5.71	     	 0.68	I
     	     	     	15.63	14.27	13.12	11.56	 7.00	     	 1.79	I
     	     	14.90	11.95	10.85	 9.90	 8.95	 4.84	     	 0.60	I
     	     	     	13.44	12.26	11.37	10.54	 7.26	     	 0.45	I
     	     	     	10.57	 8.31	 6.86	 5.80	     	     	 2.54	I
     	     	14.70	10.43	 8.79	 7.57	 6.63	     	     	 1.49	I
     	     	     	13.89	12.92	12.03	11.38	     	     	 0.05	I
     	     	     	13.89	11.91	10.33	 9.03	 4.91	     	 2.71	I
     	     	15.26	10.85	 9.53	 8.27	 7.25	 4.24	     	 1.31	I
     	     	     	13.98	12.26	11.03	10.22	 6.18	     	 1.43	I
     	     	     	10.11	 7.67	 6.00	 4.83	     	     	 3.14	I
     	     	     	16.19	14.49	13.61	13.18	     	     	 0.51	I
     	     	     	13.73	12.60	11.84	11.68	     	     	-0.50	I
     	     	     	15.65	13.46	12.02	11.04	 6.59	     	 2.37	I
     	     	     	12.10	10.46	 9.22	 8.30	 4.43	     	 1.48	I
16.16	14.79	13.89	12.83	11.83	     	     	     	 0.53	     	I
     	     	15.23	12.65	11.83	10.88	10.50	     	     	-0.31	I
     	     	13.37	11.02	10.28	 9.42	 8.81	     	     	-0.25	I
15.56	13.18	11.84	10.29	 9.36	 8.56	 7.42	 3.64	 1.72	 0.43	I
16.71	15.13	14.04	12.32	11.52	10.78	 9.94	 5.58	 0.68	-0.10	I
15.53	14.12	     	12.71	12.26	11.80	10.89	 8.12	     	-0.76	II
     	16.03	14.78	13.52	12.82	12.27	11.28	 8.14	 0.50	-0.30	II
     	     	     	14.37	13.93	13.30	12.67	     	     	-0.85	II
16.16	14.16	12.98	11.63	11.07	10.54	 9.65	 6.63	 1.25	-0.57	II
15.84	14.51	13.95	13.36	13.12	12.71	11.70	     	 0.77	-0.92	II
14.73	13.55	12.99	12.48	12.09	11.71	10.57	 7.41	 0.54	-0.68	II
16.94	15.74	14.90	13.97	13.54	13.12	12.35	 9.28	 0.31	-0.98	II
16.14	14.94	14.28	13.70	13.36	12.81	11.63	 8.26	 0.48	-0.44	II
17.18	15.50	14.64	13.40	12.75	12.42	11.62	 7.93	 1.07	-0.85	II
15.23	13.88	13.30	12.79	12.53	12.17	11.38	     	 0.79	-1.22	II
     	15.78	14.71	13.90	13.45	12.91	12.48	     	 0.81	-1.18	II
     	15.81	14.99	14.11	13.53	12.99	11.98	 8.78	 0.00	-0.40	II
16.97	14.93	13.86	12.88	12.36	11.71	10.49	     	 1.44	-0.09	II
17.21	16.10	15.25	14.36	13.88	13.41	12.52	 9.10	 0.14	-0.73	II
15.80	14.65	14.05	13.33	13.02	12.78	12.32	     	 0.44	-1.69	II
16.26	15.04	14.58	14.13	13.93	13.56	12.99	     	 0.65	-1.50	II
17.22	15.42	15.00	14.39	14.00	13.76	12.78	     	 1.27	-1.04	II
16.83	15.11	14.37	13.60	13.19	12.72	12.05	     	 1.18	-1.04	II
16.31	14.92	14.23	13.20	12.62	11.96	10.95	 7.90	 0.75	-0.24	II
16.42	14.73	13.96	13.21	12.68	12.58	11.75	 8.16	 1.15	-1.26	II
16.68	15.41	14.60	13.84	13.42	13.17	12.71	     	 0.44	-1.57	II
15.45	14.00	13.17	12.71	12.20	11.71	10.86	 7.67	 0.71	-0.72	II
16.31	     	     	13.02	12.59	12.07	11.35	     	     	-0.90	II
15.26	13.93	13.28	12.77	12.55	11.99	10.98	 8.11	 0.70	-0.74	II
14.68	13.08	12.20	11.01	10.46	 9.96	 9.19	 6.99	 0.90	-0.76	II
16.36	15.14	14.66	13.70	13.42	13.13	12.50	     	 0.65	-1.46	II
15.30	13.65	12.58	11.25	10.77	10.45	10.01	 7.59	 0.80	-1.44	II
15.25	13.73	12.84	11.89	11.46	11.14	10.69	 8.15	 0.75	-1.47	II
13.88	12.49	11.69	10.56	10.22	 9.86	 9.01	 5.49	 0.64	-1.07	II
15.94	14.17	13.17	12.55	12.00	11.64	10.91	 7.40	 1.06	-0.99	II
16.07	14.48	13.55	12.42	11.89	11.36	10.38	     	 0.83	-0.51	II
     	15.74	14.93	14.05	13.60	13.19	12.30	     	 0.21	-0.85	II
17.01	15.17	14.19	12.85	12.22	11.99	11.48	 8.34	 1.17	-1.34	II
     	     	     	14.52	14.06	13.52	13.06	     	     	-1.13	II
     	15.80	14.44	13.29	12.74	11.94	11.10	 7.56	 1.21	-0.27	II
     	15.93	15.36	14.36	13.91	13.45	12.55	     	 0.00	-0.77	II
     	     	15.14	14.06	13.25	12.65	11.40	 7.49	     	 0.16	II
     	15.90	15.08	13.71	13.01	12.48	11.81	     	 0.00	-0.67	II
     	14.23	13.21	11.93	11.35	11.03	10.47	     	 0.31	-1.21	II
     	     	15.08	14.06	13.61	13.40	12.88	     	     	-1.53	II
     	     	14.46	13.29	12.87	12.17	11.46	     	     	-0.68	II
16.84	14.98	14.20	13.25	12.78	12.40	11.64	     	 1.33	-1.02	II
     	15.35	14.12	12.72	12.25	11.71	10.80	 7.53	 1.17	-0.63	II
15.18	13.76	13.17	12.66	12.42	12.08	10.83	 6.28	 0.87	-0.75	II
     	16.04	14.76	13.72	13.11	12.44	11.32	 7.54	 0.82	-0.08	II
14.95	12.99	11.76	 9.95	 9.32	 8.79	 7.91	 4.28	 1.15	-0.51	II
13.83	12.27	11.45	10.43	 9.99	 9.44	 8.53	 5.26	 0.89	-0.64	II
15.71	13.71	12.77	11.52	11.01	10.51	10.03	 8.12	 1.48	-1.12	II
     	     	14.64	13.68	13.12	12.43	11.51	     	     	-0.32	II
     	15.73	14.54	13.08	12.56	12.09	11.56	 7.85	 0.87	-1.09	II
16.71	14.80	13.87	12.74	12.18	11.89	11.13	 7.96	 1.36	-1.05	II
     	15.98	14.41	12.98	12.36	11.80	10.99	 7.97	 1.50	-0.57	II
13.95	12.76	12.14	11.14	10.57	 9.94	 9.08	 5.95	 0.48	-0.46	II
     	14.13	12.90	11.45	10.90	10.42	 9.71	 7.34	 0.88	-0.85	II
     	     	15.39	13.35	12.70	11.95	10.87	 6.41	     	 0.02	II
     	     	15.33	14.32	13.88	13.69	12.53	     	     	-0.86	II
16.05	14.20	13.29	12.20	11.80	11.39	10.99	     	 1.27	-1.44	II
15.06	13.02	11.86	10.65	10.12	 9.60	 8.78	 5.41	 1.33	-0.69	II
     	15.72	14.68	13.64	13.19	12.89	12.30	     	 0.75	-1.34	II
15.62	13.86	12.90	10.70	10.00	 9.35	 8.44	     	 1.09	-0.24	II
16.51	15.21	14.53	13.81	13.33	12.89	12.45	 8.55	 0.61	-1.27	II
16.80	14.76	13.57	12.51	12.01	11.45	10.69	     	 1.33	-0.73	II
     	15.41	14.02	12.24	11.58	10.93	10.06	 6.68	 0.95	-0.34	II
     	14.27	13.40	12.20	11.60	11.16	10.36	 6.39	 0.00	-0.76	II
15.72	13.89	13.15	12.34	12.01	11.56	10.86	     	 1.30	-1.12	II
     	15.66	14.08	12.13	11.42	10.87	10.33	     	 1.23	-0.79	II
     	     	12.51	11.28	10.74	10.20	 9.52	 6.91	     	-0.80	II
     	15.53	14.80	13.73	13.47	13.15	12.28	     	 0.62	-1.19	II
16.03	14.08	13.07	11.94	11.40	10.96	10.27	 7.67	 1.35	-0.94	II
     	14.46	12.76	10.66	10.11	 9.65	 9.16	     	 2.02	-1.12	II
     	     	15.15	13.42	12.65	12.01	11.12	     	     	-0.21	II
14.56	13.19	12.38	11.19	10.80	10.37	 9.40	 6.05	 0.60	-0.79	II
16.04	14.94	14.56	13.59	13.16	12.76	12.18	     	 0.53	-1.22	II
14.35	13.13	12.41	11.58	11.25	10.97	10.61	 7.15	 0.43	-1.73	II
     	     	     	14.34	13.81	13.33	12.47	     	     	-0.70	II
     	     	14.60	12.84	12.14	11.45	10.66	     	     	-0.33	II
     	     	14.82	12.77	11.85	11.09	10.39	 7.75	     	-0.11	II
     	15.60	13.90	12.47	11.80	11.22	10.40	 7.38	 1.63	-0.47	II
     	     	     	13.19	12.46	11.79	11.15	     	     	-0.49	II
     	     	14.10	12.44	11.61	11.11	10.49	 7.65	     	-0.65	II
     	15.18	13.70	12.47	11.95	11.44	10.71	 6.67	 1.58	-0.81	II
16.14	15.00	14.50	13.93	13.60	13.18	12.54	     	 0.53	-1.22	II
     	14.61	13.20	11.84	11.17	10.59	 9.94	 6.62	 0.91	-0.66	II
     	15.89	14.15	13.13	12.09	11.42	10.74	     	 0.53	-0.14	II
15.13	13.91	13.34	12.56	12.17	11.66	11.14	     	 0.60	-1.17	II
     	     	     	13.52	12.79	12.33	11.59	     	     	-0.67	II
     	     	14.16	12.85	12.16	11.78	11.14	     	     	-0.93	II
16.38	15.26	14.89	13.69	13.22	12.96	11.76	     	 0.54	-0.69	II
     	     	     	13.85	13.30	13.01	12.30	     	     	-1.12	II
     	15.97	13.95	11.94	11.22	10.76	10.07	 6.11	 2.22	-0.74	II
13.39	11.61	10.28	 8.35	 7.64	 7.09	 6.32	 3.19	 0.77	-0.53	II
     	     	14.92	13.30	12.74	12.43	11.95	     	     	-1.32	II
     	15.50	14.36	12.63	11.98	11.39	10.49	 7.41	 0.36	-0.39	II
     	     	15.39	13.32	12.30	11.64	10.62	     	     	 0.19	II
14.39	13.21	12.59	11.61	11.24	10.94	10.27	 7.41	 0.47	-1.32	II
     	15.62	14.38	13.18	12.65	12.20	11.39	 8.52	 0.99	-0.80	II
     	15.81	14.73	13.85	13.36	12.86	12.15	     	 0.69	-0.88	II
15.62	14.09	13.21	12.18	11.63	11.20	10.52	 7.11	 0.80	-0.95	II
16.22	14.12	13.14	12.25	11.81	11.27	10.69	     	 1.58	-1.02	II
     	     	     	13.48	12.84	12.32	11.43	 8.21	     	-0.50	II
16.45	14.81	14.06	13.33	12.88	     	     	     	 1.09	     	II
     	     	13.95	11.78	11.04	10.56	 9.90	     	     	-0.73	II
     	15.56	14.64	13.64	13.25	12.85	12.29	     	 0.64	-1.28	II
     	     	     	11.09	10.70	10.42	 9.62	     	     	-1.18	II
16.75	15.10	14.30	13.30	12.82	12.47	11.54	     	 1.06	-0.86	II
16.42	14.98	14.30	13.38	12.97	12.69	11.77	 8.91	 0.82	-1.03	II
15.84	13.98	13.10	11.90	11.43	10.89	10.20	     	 1.33	-0.87	II
16.76	14.76	13.69	12.47	12.11	11.81	11.48	 7.36	 1.36	-1.71	II
14.86	13.80	13.45	13.04	12.87	12.58	11.74	 7.80	 0.49	-1.35	II
     	     	14.56	13.28	12.78	12.37	11.84	     	     	-1.20	II
14.36	13.31	12.72	11.64	11.27	10.95	10.21	 7.16	 0.29	-1.21	II
16.16	14.47	13.73	12.54	12.14	11.88	11.46	 8.16	 1.16	-1.62	II
14.78	13.02	12.00	10.65	10.21	 9.88	 9.38	 6.89	 1.05	-1.40	II
15.41	13.91	13.09	12.23	11.76	11.43	10.89	     	 0.81	-1.32	II
16.26	15.25	14.70	14.11	13.92	13.80	     	     	 0.27	     	II
16.79	14.89	14.17	13.36	13.08	12.61	11.96	     	 1.37	-1.19	II
16.13	14.38	13.54	12.31	11.75	11.22	10.41	 6.30	 1.18	-0.66	II
     	15.71	14.98	14.11	13.72	13.49	12.78	     	 0.20	-1.36	II
15.63	14.70	14.16	12.81	12.40	12.18	11.77	     	 0.17	-1.67	II
14.66	13.26	12.75	12.42	12.30	12.20	11.89	 8.80	 0.85	-2.25	II*
14.00	12.78	12.06	10.86	10.57	10.45	10.23	 7.29	 0.44	-2.14	II*
13.73	12.91	12.51	12.08	11.93	11.79	11.38	 8.10	 0.11	-2.05	II*
14.60	13.22	12.47	12.04	11.83	11.59	11.46	 7.17	 0.66	-2.15	II*
15.07	14.08	13.63	13.38	13.31	13.16	12.87	 7.38	 0.34	-2.25	II*
15.46	14.46	14.12	13.75	13.66	13.40	12.46	 7.69	 0.42	-1.35	II*
     	     	     	15.62	14.26	13.31	11.91	 6.17	     	 1.35	I*
     	16.75	14.91	13.17	11.82	11.37	10.72	 3.73	     	-0.18	I*
     	     	     	     	 7.81	 6.60	 5.61	 0.47	     	     	I*
     	     	     	     	15.11	     	     	 6.82	     	     	I*
     	     	     	14.21	12.81	     	11.54	 5.17	     	     	I*
     	     	     	     	15.48	     	     	 6.13	     	     	I*
     	     	     	13.95	11.61	10.81	10.44	 2.68	     	 0.95	I*
     	     	     	13.95	10.47	10.95	10.70	 5.55	     	 0.18	I*
     	17.21	15.74	14.42	13.94	13.89	13.64	 7.75	     	-2.02	I*
     	     	     	15.69	13.53	12.83	13.12	 6.00	     	-0.07	I*
     	     	     	14.28	12.78	12.25	12.16	 4.52	     	-0.54	I*
     	     	     	     	12.35	11.58	10.90	 3.75	     	     	I*
     	     	14.49	13.22	12.31	11.56	10.64	 5.29	     	 0.10	I
     	     	     	12.15	10.55	 9.37	 8.25	 5.18	     	 1.59	I
     	     	12.05	 9.81	 8.01	 6.67	 4.95	     	     	 2.66	I
     	17.04	13.81	10.81	 9.69	 8.88	 8.00	 4.03	     	 0.33	I
12.48	10.84	 9.51	 7.82	 6.86	 5.91	 4.90	 1.32	 0.89	 0.52	I
     	16.84	14.95	13.19	12.39	11.48	10.42	 6.50	     	 0.37	I
     	     	     	15.86	15.05	14.33	13.89	     	     	-0.56	I
16.02	14.83	14.31	13.91	12.96	12.09	10.49	 6.02	 0.37	 1.05	I
     	     	     	12.66	10.18	 8.96	 8.33	 0.35	     	 1.96	I
     	     	16.37	14.35	13.59	12.87	12.12	     	     	-0.28	I
17.21	15.97	15.24	14.03	13.08	12.22	11.12	 7.26	     	 0.48	I
17.99	14.43	11.56	 9.60	 8.01	 7.04	 5.96	 2.28	 1.71	 1.24	I
17.80	     	15.10	14.21	13.25	12.23	11.18	     	     	 0.65	I
     	13.88	10.88	 6.92	 5.73	 4.53	 3.50	     	 3.10	 1.11	I
11.74	 9.74	 8.15	 6.22	 5.02	 3.92	 2.73	     	 1.01	 1.16	I
     	14.22	12.65	11.30	10.52	 9.72	 8.78	 4.80	 1.12	 0.06	I
     	13.80	10.43	 6.65	 5.13	 4.13	 3.65	     	 2.95	 0.56	I
16.45	13.76	11.78	 9.98	 9.05	 8.63	     	     	 1.79	     	I
     	16.10	13.18	10.30	 8.39	 7.42	 6.74	 2.34	     	 1.11	I
     	     	     	12.57	10.82	 9.77	 9.18	 2.27	     	 0.97	I
     	     	14.14	 9.28	 7.53	 6.64	 5.80	 2.60	     	 1.03	I
     	     	     	13.53	11.99	10.63	 9.59	 4.17	     	 1.69	I
     	     	     	14.26	13.29	12.50	11.14	 7.73	     	 0.69	I
17.18	16.03	15.35	14.34	13.56	12.78	12.17	 7.90	     	-0.32	I
16.51	15.75	15.13	14.45	13.98	13.49	12.82	     	 0.04	-0.96	II
     	17.13	15.20	13.96	13.39	12.96	12.14	 8.50	     	-0.78	II
17.55	16.37	15.13	13.69	13.10	12.48	11.61	 8.03	     	-0.44	II
     	16.83	14.16	12.00	10.97	10.41	 9.56	 6.82	     	-0.12	II
15.29	13.15	12.04	11.20	10.88	10.57	10.23	 8.13	 1.51	-1.72	II
12.02	10.79	 9.85	 8.90	 8.38	 7.77	 6.64	     	 0.41	-0.24	II
14.21	13.21	12.61	11.90	11.68	11.27	10.61	 8.07	 0.22	-1.33	II
10.88	10.01	 9.69	 9.47	 9.17	 8.88	 8.30	     	 0.27	-1.51	II
14.26	12.61	11.64	10.34	 9.97	 9.66	 9.27	 6.52	 0.83	-1.61	II
12.93	11.75	10.92	 9.94	 9.33	 9.01	 8.33	 5.60	 0.27	-1.05	II
11.36	10.07	 9.18	 8.50	 7.84	 7.55	 6.49	 3.37	 0.41	-0.62	II
13.29	12.50	12.14	11.91	11.41	11.07	10.37	 8.29	 0.04	-1.10	II
11.72	10.49	 9.90	 9.08	 8.65	 8.36	 7.29	 4.31	 0.57	-0.83	II
13.19	12.50	12.07	11.48	11.21	10.77	10.04	 7.79	 0.00	-1.17	II
11.98	11.01	10.56	10.18	 9.94	 9.56	 8.92	 6.32	 0.30	-1.36	II
13.59	12.87	12.50	12.26	11.85	11.42	10.82	 8.29	 0.00	-1.18	II
     	16.80	15.38	14.10	13.58	13.09	12.34	 9.07	     	-0.82	II
14.57	12.22	10.92	10.09	 9.69	 9.15	 8.30	 4.82	 1.95	-0.77	II
13.02	12.05	11.61	11.19	10.65	10.21	 9.31	 5.12	 0.33	-0.71	II
12.82	11.22	10.32	 9.54	 8.79	 8.45	 7.61	 4.50	 0.93	-0.71	II
16.02	14.97	14.18	13.55	13.07	12.65	11.99	     	 0.19	-1.06	II
13.46	11.61	10.51	 9.23	 8.47	 8.14	 7.46	 3.91	 1.20	-0.89	II
12.96	11.59	10.81	 9.93	 9.50	 9.08	 8.30	     	 0.65	-0.97	II
     	     	16.18	11.22	 9.71	 8.84	 8.26	 6.14	     	 0.47	II
15.53	13.07	11.77	10.61	10.00	 9.27	 8.36	 4.75	 2.19	-0.22	II
12.30	10.69	 9.70	 8.83	 8.35	 8.25	 7.55	 3.67	 0.80	-1.46	II
13.72	11.89	11.03	10.61	10.31	 9.92	 8.93	 3.97	 1.30	-0.91	II
15.38	14.00	13.20	12.61	11.90	11.26	10.27	 7.17	 0.70	-0.17	II
13.05	11.95	11.38	10.62	10.10	 9.71	 8.67	 5.76	 0.32	-0.63	II
16.04	14.32	13.32	12.46	11.96	11.36	     	     	 0.67	     	II
14.55	13.09	12.22	11.30	10.84	10.30	 9.59	     	 0.43	-0.85	II
15.31	14.24	13.65	13.00	12.73	12.58	12.07	     	 0.69	-1.81	II
16.16	12.54	10.56	 8.69	 8.01	 7.50	 6.40	 2.46	 3.53	-0.25	II
12.37	10.96	 9.98	 8.85	 8.40	 8.14	 7.51	 4.77	 0.44	-1.34	II
16.61	14.60	13.35	12.11	11.68	11.41	10.62	 6.46	 1.01	-1.16	II
14.51	13.87	13.62	13.33	12.76	     	     	     	 0.00	     	II
17.07	14.88	13.54	12.20	11.56	11.07	10.46	     	 1.20	-0.87	II
14.05	12.78	11.73	10.25	 9.60	 9.21	 8.23	 5.00	 0.37	-0.58	II
15.66	14.62	13.98	13.22	12.64	12.24	11.56	 7.34	 0.31	-0.96	II
15.86	14.65	13.97	13.26	13.02	12.68	12.37	     	 0.71	-1.79	II
16.32	14.87	13.93	13.04	12.67	12.15	11.50	     	 0.94	-1.04	II
11.43	10.16	 9.36	 8.05	 7.62	 7.24	 6.32	 3.50	 0.54	-0.88	II
17.20	16.06	15.17	13.95	13.45	12.90	12.42	     	 0.60	-1.06	II
15.61	13.95	12.75	11.40	10.85	10.24	 9.22	 5.64	 0.63	-0.33	II
     	     	14.31	12.04	11.03	10.41	 9.82	 7.39	     	-0.34	II
     	15.25	13.31	11.70	10.92	10.33	 9.75	     	 2.13	-0.61	II
17.20	16.34	15.65	13.98	13.39	12.48	11.75	     	     	-0.20	II
14.29	11.58	 9.82	 8.56	 7.82	 7.16	 6.32	 3.71	 2.19	-0.28	II
     	14.93	12.75	11.06	10.29	 9.70	 9.00	 5.97	 2.13	-0.50	II
16.70	15.55	14.83	14.06	13.79	13.48	12.93	 9.76	 0.35	-1.54	II
12.98	11.17	10.13	 8.93	 8.39	 7.95	 7.38	     	 1.16	-1.07	II
17.14	15.99	15.73	13.38	12.65	12.07	11.26	 7.34	 0.57	-0.42	II
16.38	14.34	13.19	12.28	11.92	11.36	10.20	     	 1.51	-0.43	II
14.11	13.18	12.67	12.06	11.71	11.34	10.41	 7.82	 0.26	-0.96	II
11.26	10.14	 9.50	 9.13	 8.92	 8.33	 7.19	     	 0.35	-0.56	II
15.51	14.69	14.20	13.74	13.54	13.50	     	     	 0.00	     	II
 9.34	 7.95	 7.17	 6.70	 6.54	 5.95	 4.63	     	 0.62	-0.40	II
15.65	13.85	12.85	11.87	11.41	10.90	10.30	     	 1.07	-1.02	II
15.97	14.47	13.20	11.60	10.90	10.16	 9.05	 5.87	 0.64	 0.09	II
14.84	13.46	12.58	11.50	11.04	10.72	     	     	 0.66	     	II
15.34	13.60	12.69	11.93	11.60	11.16	10.53	 6.02	 1.27	-1.20	II
16.87	15.77	14.76	13.85	13.29	12.64	11.22	 6.35	 0.24	 0.16	II
     	15.52	12.69	10.58	 9.69	 9.00	 8.25	     	 3.73	-0.18	II
13.43	12.58	12.10	11.29	10.78	10.62	10.09	     	 0.07	-1.53	II
15.22	14.59	14.19	13.55	13.10	12.76	12.08	     	 0.00	-1.17	II
13.04	11.24	10.09	 8.83	 8.38	 7.95	 7.50	 5.61	 1.02	-1.31	II
     	     	15.83	14.00	13.39	12.66	11.90	 9.21	     	-0.39	II
     	     	16.47	14.99	14.56	14.08	13.47	     	     	-1.08	II
13.17	11.82	11.16	10.32	 9.73	 9.21	 8.45	     	 0.81	-0.70	II
15.25	14.10	13.52	12.85	12.42	11.79	10.82	 6.36	 0.24	-0.48	II
 9.95	 8.94	 8.35	 7.29	 6.82	 6.28	 5.54	 2.89	 0.31	-0.81	II
14.78	13.65	12.97	12.24	11.87	11.53	10.93	 8.09	 0.40	-1.34	II
     	     	14.61	13.55	12.89	12.27	11.06	 6.30	 0.87	 0.00	II
11.37	10.38	10.26	 9.58	 9.10	 8.35	 7.06	 3.81	 0.08	 0.08	II
     	14.69	12.16	 9.97	 8.94	 8.32	 7.32	 3.22	 2.79	 0.12	II
14.03	11.79	10.39	 8.57	 7.95	 7.49	 6.59	 3.08	 1.55	-0.60	II
17.48	14.66	13.07	11.68	11.19	10.72	10.09	     	 2.14	-1.02	II
12.41	11.72	11.43	11.01	10.68	10.32	 9.62	 6.74	 0.00	-1.25	II
11.10	10.05	 9.45	 8.59	 8.20	 7.89	 7.41	 4.82	 0.21	-1.49	II
12.35	11.64	11.30	10.51	10.16	 9.77	 8.93	 5.92	 0.00	-1.02	II
13.52	12.67	12.24	11.63	11.09	10.72	10.02	 7.51	 0.16	-1.02	II
15.55	14.25	13.59	12.87	12.44	11.88	10.75	 5.03	 0.58	-0.39	II
11.13	10.11	     	 8.92	 8.14	 7.67	 6.32	 4.31	     	 0.06	II
17.42	15.94	14.89	13.87	13.37	12.85	12.28	     	     	-1.00	II
12.66	11.63	11.18	10.69	10.43	 9.92	 8.95	 6.08	 0.39	-0.81	II
12.12	11.37	11.06	10.49	10.12	 9.69	 8.93	 6.04	 0.00	-1.05	II
14.31	12.90	11.85	10.52	10.06	 9.80	 9.26	 6.54	 0.38	-1.43	II
